Theme (KEF Themes),Title,Memory Mapper Title (keywords to identify the project) (should include the research content,Project Location - In London,Date,Link,Identification- DOI/URL/ISBN/Reference no.,Authors,London Authors,Other Author (National+International),Department,Abstract,Partners,Partnership Location - In London,Partnership,Policy Sources////Citations ( from Overton),Policy source subcategory,Partnership 1,Partnership 2,Partnership 3,Partnership 4,Filter 2 (Themes),Funder 1,Funder 2,Funder 3,Source,Type of Work (phD/masters),Column,Column2,Column3,Column4,Column5,Column6,Column7
,"""Real' wages? Contractors, workers, and pay in London building trades, 1650-1800","""Real"" wages? Contractors, workers, and pay in London building trades, 1650-1800","St Paul's Cathedral (51.5137871,-0.0984506) 
St James Garlickhythe (51.5111244,-0.0936711) 
Greenwich Hospital (51.483587,-0.007198) 
Westminster Abbey (51.499399,-0.127391)
Middle Temple (51.51235580444336,-0.1110706701874733)
Bridge House (51.504962,-0.087651) 
Westminster Bridge (51.5008659362793,-0.12243890017271042) 
Blenheim Estate (51.454215,-0.123179)","Saturday, 13 May 2017",https://onlinelibrary.wiley.com/doi/abs/10.1111/ehr.12491,10.1111/ehr.12491,Judy Z Stephenson ,,,"Bartlett School of Sustainable Construction (51.521897,-0.134542)","Existing series suggest wages in London were higher than in other European cities from 1650 to 1800. This article presents new evidence from the construction sites that supplied the underlying wage data, and uncovers the contractual and organizational context in which they were recorded. Institutional records of wages were profoundly affected by structural changes in the seventeenth century, particularly the emergence of large-scale building contractors. The actual wages paid to London building workers were substantially below current estimates.",,,,"Government, IGO ",Bank,,,,,Construction and Engineering,,,,REF 2021,,,,,,,,
,A compact city for the wealthy? Employment accessibility inequalities between occupational classes in the London metropolitan region 2011,Employment accessibility inequalities between occupational classes,London Metropolitan Region,"Tuesday, 23 June 2020",https://discovery.ucl.ac.uk/id/eprint/10102429/1/Smithetal2020_CompactCityfortheWealthy.pdf,10.1016/j.jtrangeo.2020.102767,Duncan A. Smith|Yao Shen |Joana Barros|Mike Batty |Chen Zhong|Mariana Giannotti ,"Joana Barros, Department of Geography, Birkbeck, University of London, WC1E 7HX, London, UK, (51.52521292561708, -0.12942207358954644)

Chen Zhong, Department of Geography, Kings College London, Strand, WC2R 2LS, London, UK, (51.51325924885361, -0.11704348837473262)","Yao Shen, Department of Urban Planning, Tongji University, 1239 Siping Road, Shanghai 200092, China, (31.28534786913622, 121.50577118412855)
Mariana Giannotti Geoprocessing Laboratory, University of São Paulo (USP), Av. Prof. Luciano Gualberto, São Paulo, Brazil, (-23.556061547208092, -46.72193348073597)","Bartlett Centre for Advanced Spatial Analysis  (51.5219612121582,-0.13562574982643127)","The prevalence of gentrification and housing marketisation processes in many cities points to increasingly wealthy inner-city areas and potentially greater population segregation by income. It is plausible that these trends are contributing to regional accessibility inequalities, though quantitative research testing this link is limited. This paper examines differences in employment accessibility between Standard Occupational Classification groups in the London Metropolitan Region for 2011 for car, transit, bus only and walking modes. Additionally, changes in occupational class populations 2006–2016 are considered, revealing continuing inner-city gentrification. Employment accessibility is calculated using cumulative measures, based on travel times from multi-modal network modelling. The results show that while car accessibility is relatively equal between occupational classes, public transport, bus and walk accessibility have significant inequalities favouring professional classes. Low income groups have lower accessibility for the most affordable bus and walk modes, and inequalities are greater for residents in the wider metropolitan region. Furthermore, professional groups combine accessibility advantages with the highest rates of owner occupation, maximising housing wealth benefits. Lower income groups are exposed to rent increases, though this is offset by social housing, which remains the most prevalent tenure in Inner London for low income classes.",1. Joana Barros|2. Mike Batty ,"1. Department of Geography, Birkbeck, University of London, WC1E 7HX, London, UK (51.521891,-0.130359)
2. Department of Geography, Kings College London, Strand, WC2R 2LS, London, UK (51.511612,-0.116253)",Co-authorship with academic partner(s),Government,,Co-authorship with academic partner(s),,,,Planning and Policy,Economic and Social Research Council (ESRC),,,REF 2021,,,,,,,,
,"A tale of two cities: comparison of impacts on CO2 emissions, the indoor environment and health of home energy efficiency strategies in London and Milton Keynes",Comparison of impacts on CO2 emissions in London and Milton Keynes,London ,"Monday, 31 August 2015",https://www.sciencedirect.com/science/article/abs/pii/S1352231015303198,10.1016/j.atmosenv.2015.08.074,Clive Shrubsole|P.Das|J. Milner|I.G.Hamilton |J.V. Spadaro|E. Oikonomou|M. Davies|P. Wilkinson,"J. Milner
P. Wilkinson 
Department of Social & Environmental Health Research, London School of Hygiene & Tropical Medicine, 15-17 Tavistock Place, London, WC1H 9SH, UK (51.525448,-0.12671)","P.Das Rudolf Peierls Centre for Theoretical Physics, University of Oxford, 1 Keble Road, Oxford, OX1 3NP, UK (51.7597085956399, -1.2587474802667473)

J.V. Spadaro, BC3 Basque Centre for Climate Change, Alda. Urquijo 4, 4°, 48008, Bilbao, Spain, (43.265669885484186, -2.9252490309413584)",[UCL Energy Institute / UCL Institute for Sustainable Heritage (ISH) / UCL Institute for Environmental Design and Engineering (IEDE) / UCL Institute for Sustainable Resources (ISR)],"Dwellings are a substantial source of global CO2 emissions. The energy used in homes for heating, cooking and running electrical appliances is responsible for a quarter of current total UK emissions and is a key target of government policies for greenhouse gas abatement. Policymakers need to understand the potential impact that such decarbonization policies have on the indoor environment and health for a full assessment of costs and benefits. We investigated these impacts in two contrasting settings of the UK: London, a predominantly older city and Milton Keynes, a growing new town. We employed SCRIBE, a building physics-based health impact model of the UK housing stock linked to the English Housing Survey, to examine changes, 2010–2050, in end-use energy demand, CO2 emissions, winter indoor temperatures, airborne pollutant concentrations and associated health impacts. For each location we modelled the existing (2010) housing stock and three future scenarios with different levels of energy efficiency interventions combined with either a business-as-usual, or accelerated decarbonization of the electricity grid approach. The potential for CO2 savings was appreciably greater in London than Milton Keynes except when substantial decarbonization of the electricity grid was assumed, largely because of the lower level of current energy efficiency in London and differences in the type and form of the housing stock. The average net impact on health per thousand population was greater in magnitude under all scenarios in London compared to Milton Keynes and more beneficial when it was assumed that purpose-provided ventilation (PPV) would be part of energy efficiency interventions, but more detrimental when interventions were assumed not to include PPV. These findings illustrate the importance of considering ventilation measures for health protection and the potential variation in the impact of home energy efficiency strategies, suggesting the need for tailored policy approaches in different locations, rather than adopting a universally rolled out strategy.",J. Milner|P. Wilkinson ,"Department of Social & Environmental Health Research, London School of Hygiene & Tropical Medicine, 15-17 Tavistock Place, London, WC1H 9SH, UK (51.525448,-0.12671)",Co-authorship with academic partner(s),Government,Healthcare,Co-authorship with academic partner(s),Co-authorship with other partner(s),,,Sustainability,EU Seventh Framework Programme,,,REF 2021,,,,,,,,
,Accounting for the hostel for ‘Coloured Colonial Seamen’ in London’s East End,Accounting for the hostel for ‘Coloured Colonial Seamen’ ,"17 Leman Street, Whitechapel (51.5142946,-0.070815)","Monday, 22 July 2019",https://discovery.ucl.ac.uk/id/eprint/10062039/,10.1080/14608944.2019.1600484,Sarah A. Milne,,,"Bartlett School of Architecture (51.525972,-0.132386)","In 1942, 17 Leman Street, Whitechapel, was acquired by the Colonial Office and converted into the only seamen's hostel for black men in London. For seven years, this small government-sponsored hostel provided thirteen beds for seamen from British colonies in the Caribbean and West Africa. Considering the hostel amid wider contestations of nationhood in London’s built environment, this paper argues that the experience of ‘colonial’ seamen and stowaways in the capital was characterised by spatial precariousness, a condition accentuated by the unwillingness of authorities to respond to the difficult realities of the colour bar and citizenship in post-war urban space.",,,,,,,,,,Social Sciences and Humanities,Arts and Humanities Research Council (AHRC),,,REF 2021,,,,,,,,
,Contracts and Pay Work in London Construction 1660–1785,Contracts and Pay Work in Construction 1660–1785,"St Paul's Cathedral 
(51.5137871,-0.0984506) 
London Bridge
(51.507877,-0.087732)",2020,https://www.cambridge.org/core/journals/urban-history/article/abs/judy-z-stephenson-contracts-and-pay-work-in-london-construction-16601785-basingstoke-palgrave-macmillan-2020-xii-261-pp-10100-hbk/6A00235264AC7D8A61E08FE8813395F6,"https://link.springer.com/book/10.1007/978-3-319-57508-7#:~:text=About%20this%20book&text=Providing%20fresh%20wage%20and%20earnings,economic%2C%20business%20and%20construction%20historians.",Judy Z Stephenson,,,"Bartlett School of Sustainable Construction (51.521897,-0.134542)","This book presents a new economic history of London construction in the early modern period. Drawing on extensive archival material from key sites such as St Paul’s Cathedral and London Bridge, it describes the organization of contracts and work on large-scale ‘extraordinary’ projects and maintenance contracts in the city during a key period of architectural and organizational development in Britain. Stephenson shows that the organisation of the industry and the welfare of its workers were shaped by the contracts and finance of large institutions and ambitious businessmen. Providing fresh wage and earnings data for craftsmen and labourers during the period, it offers new material and debate for economic, business and construction historians.",,,,,,,,,,Construction and Engineering,,,,REF 2021,,,,,,,,
Research partnerships,Design for London: Experiments in Urban Thinking,Design for London: Experiments in Urban Thinking,London,"Thursday, 10 December 2020",https://discovery.ucl.ac.uk/id/eprint/10116471/,10.14324/111.9781787358942,Peter Bishop|Lesley Williams,,,"Bartlett School of Architecture (51.525972,-0.132386)","Design for London was a unique experiment in urban planning, design and strategic thinking. Set up in 2006 by Mayor Ken Livingstone and his Architectural Advisor, Richard Rogers, the brief for the team was ‘to think about London, what made London unique and how it could be made better’. Sitting within London government but outside its formal statutory responsibilities, it was given freedom to question and challenge. The team had no power or money, but it did have the licence to operate without the usual constraints of government. With introductions from Ken Livingstone and Richard Rogers, Design for London covers the tumultuous and heady period of the first decade of this century when London was a test bed for new ideas. It outlines how key projects such as the London Olympics, public space programmes, high street regeneration and greening programmes were managed, critically examines the lessons that might be learnt in strategic urban design and considers how a design agenda for London could be developed in the future.
By providing an engaging account of the strategic approaches and work of Design for London, and documenting the particular methodology and approach to urban theory it developed, Design for London will appeal to undergraduate and postgraduate students of planning, urban design and architecture, and to current practitioners from the public, private and community sectors who are struggling to achieve regeneration through poorly understood ‘placemaking’ concepts.",,,,,,Co-authorship with industry partner(s),,,,Design,,,,REF 2021,,,,,,,,
Working with the public and third sector,"District heating as heterotopia: Tracing the social contract through domestic energy infrastructure in Pimlico, London",Tracing the social contract through domestic energy infrastructure,"Churchill Gardens Social Housing (51.4865129,-0.1416574)","Wednesday, 27 January 2016",https://discovery.ucl.ac.uk/id/eprint/1502304/,10.1002/sea2.12047,Charlotte Johnson,,,"Bartlett School of Environment, Energy and Resources (51.526804,-0.129844)","The Pimlico District Heating Undertaking (PDHU) was London's first attempt at neighborhood heating. Built in the 1950s to supply landmark social housing project Churchill Gardens, the district heating system sent heat from nearby Battersea power station into the radiators of the housing estate. The network is a rare example in the United Kingdom, where, unlike other European states, district heating did not become widespread. Today the heating system supplies more than 3,000 homes in the London Borough of Westminster, having survived the closure of the power station and the privatization of the housing estate it supplies. Therefore, this article argues, the neighborhood can be understood as a heterotopia, a site of an alternative sociotechnical order. This concept is used to understand the layers of economic, political, and technological rationalities that have supported PDHU and to question how it has survived radical changes in housing and energy policy in the United Kingdom. This lens allows us to see the tension between the urban planning and engineering perspective, which celebrates this system as a future-oriented “experiment,” and the reality of managing and using the system on the estate. The article analyzes this technology-enabled standard of living as a social contract between state and citizen, suggesting this is a way to analyze contemporary questions of district energy.",1. Residents of Churchill Gardens |2. Pimlico District Heating Undertaking (PDHU) https://www.westminster.gov.uk/housing/pdhu|3. CityWest Homes ,"1. 51.4865129,-0.1416574
2. Pimlico District Heating Undertaking (PDHU) 
3. 51.50090026855469,-0.15009300410747528",Working with the public and third sector,,,Public engagement,Collaborators,Data support,,Planning and Policy,,,,REF 2021,,,,,,,,
,Exploring sentiment-driven trading behaviour of different types of investors in the London office market,Exploring sentiment-driven trading behaviour of different types of investors,London,"Friday, 22 March 2019",https://discovery.ucl.ac.uk/id/eprint/10069769/1/Explore%20sentiment%20driven%20trading%20behaviour-accepted.pdf,10.1080/09599916.2019.1593220,Qiulin Ke,,,"Bartlett School of Planning (51.526676177978516,-0.13003753125667572)","We investigates the sentiment-driven trading behaviour of the four types of investors in the London office market, i.e. UK institutional investors, UK private investors, UK listed real estate companies/Real Estate Investment Trust (REIT)s and overseas investors. In addition, we examine the relationship between investor sentiment and property performance. Related indices are calculated to examine the existence of herding behaviour of different investors. We find that UK private investors follow a contrarian strategy to UK institutional investors and listed real estate companies/REITs and enter/exit the market at different points of time. UK institutional investors tend to follow the sentiment of UK listed real estate companies/REITs and overseas investors with lags. There is no evidence that overseas investors rely upon the sentiment of UK specialised property investors in their decision-making. We find the sentiment of different investors is influenced differently by market fundamentals. Yield and rental growth rate have significant impact on trading activity of overseas investors, but not on other investors. The stock market return and securitised real estate return have significant impact on the trading activity of UK institutional investor and overseas investor, but have no significant influence on the trading behaviour of UK private investor and listed real estate company/REIT.",,,,,,,,,,Other,,,,REF 2021,,,,,,,,
,Governing the ‘ungovernable’? Financialisation and the governance of transport infrastructure in the London ‘global city-region’,Financialisation and the governance of transport infrastructure in the ‘global city-region’,London ,"Thursday, 1 February 2018",https://discovery.ucl.ac.uk/id/eprint/10044550/1/Tomaney_Governing_the_ungovernable.pdf,10.1016/j.progress.2018.02.001,Peter O’Brien |Andy Pike|John Tomaney,,"Peter O’Brien
Andy Pike 
Centre for Urban and Regional Development Studies (CURDS), Newcastle University, Newcastle upon Tyne, UK NE1 7RU. (54.96622211175127, -1.6537846464922554)","Bartlett School of Planning (51.526676177978516,-0.13003753125667572)","The governance of infrastructure funding and financing at the city-region scale is a critical aspect of the continued search for mechanisms to channel investment into the urban landscape. In the context of the global financial crisis, austerity and uneven growth, national, sub-national and local state actors are being compelled to adopt the increasingly speculative activities of urban entrepreneurialism to attract new capital, develop ‘innovative’ financial instruments and models, and establish new or reform existing institutional arrangements for urban infrastructure governance. Amidst concerns about the claimed ‘ungovernability’ of ‘global’ cities and city-regions, governing urban infrastructure funding and financing has become an acute issue. Infrastructure renewal and development are interpreted as integral to urban growth, especially to underpin the size and scale of large cities and their significant contributions within national economies. Yet, overcoming fragmented local jurisdictions to improve the governance and economic, social and environmental development of major metropolitan areas remains a challenge. The complex, and sometimes conflicting and contested inter-relationships at stake raise important questions about the role of the state in wrestling with entrepreneurial and managerialist governance imperatives. City and government actors are simultaneously engaging with financial actors, the financialisation of the built environment, the enduring and integral position of the state in infrastructure given its particular characteristics, the transformation of infrastructure from a public good into an asset class through the agency of private and state interests, and what relationships, if any, exist between ‘effective’ urban governance systems and improved economic performance.",,,,Think tank and IGO ,,Co-authorship with other partner(s),,,,Planning and Policy,Economic and Social Research Council (ESRC),Engineering & Physical Sciences Research Council (EPSRC),,REF 2021,,,,,,,,
,"High street changeability: the effect of urban form on demolition, modification and use change in two south London suburbs",High street changeability,"Surbiton (51.3915,-0.2982)
South Norwood (51.3980951,-0.0768216)","Thursday, 6 October 2016",https://discovery.ucl.ac.uk/id/eprint/1501260/,https://discovery.ucl.ac.uk/id/eprint/1501260,Ilkka Törmä|Sam Griffiths|Laura Vaughan,,"Ilkka Törmä Heinäsarankaari 13, 00630 Helsinki, Finland. (60.23601717109516, 24.9427087849278)","Bartlett School of Architecture (51.525972,-0.132386)","Adaptability and resilience are recognized as essential elements of urban sustainability, yet they remain elusive as propositions supported by empirical research. In the research presented here the affordance of change and continuity – here termed changeability – is investigated through a comparative historical study of two suburban centres in London ‒ Surbiton and South Norwood ‒ which have matured differently, despite many extrinsic similarities. Their development c.1880–2013 is examined through the analysis of digitized historical maps, building use and space syntax analysis of their street plans. Buildings on busy, but not necessarily the busiest, streets in small town centres are said to be the most changeable since they can accommodate a variety of non-domestic uses. Such streets tend to facilitate incremental building modifications and cyclical redevelopment on wide- fronted plots.",,,,,,Co-authorship: unspecified affiliation,,,,Sustainability,Engineering & Physical Sciences Research Council (EPSRC),,,REF 2021,,,,,,,,
