Title,Memory Mapper Title (keywords to identify the project) (should include the research content,Project Location - In London ,Date,Link,Identification- DOI/URL/ISBN/Reference no.,  Authors,London Authors,Other Author (National+International),Department,Abstract,Partners,Partnership Location - In London,Policy Sources////Citations ( from Overton) ,Policy source subcategory,Partnership 1,Partnership 2,Partnership 3,Partnership 4,Filter 2 (Themes) ,Funder 1,Funder 2,Funder 3,Source,Output type
Providing Public Space in a Contemporary Metropolis: Dilemmas and Lessons from London and Hong Kong,Providing Public Space in a Contemporary Metropolis,London,2024,https://www.degruyter.com/document/doi/10.56687/9781447358886/html,https://www.degruyter.com/document/doi/10.56687/9781447358886/html,"De Magalhaes C, Sieh L",,"Louie Sieh, City University of Hong Kong, 22.336422, 114.172989","Bartlett School of Planning (51.526676177978516,-0.13003753125667572)","Increasingly, public space provision and management are being transferred from the public sector to real estate developers, private sector organisations, voluntary groups and community bodies. Contrasting the more historical, horizontal character of London with the intense street life of high-rise Hong Kong, this book tells the story of the two cities’ relationships with non-traditional forms of public space governance. The authors consider the implications for the ‘publicness’ of these complex spaces and the challenges and impacts that different forms of provision have on those with a stake in them, and on the cities as a whole.",,,,,,,,,,,,,RPS,Book
"Disrupting the Speculative City: Property, Power and Community in London","Property, Power and Community in London",London,2024,https://www.uclpress.co.uk/products/240669,https://www.uclpress.co.uk/products/240669,"Horton A, Penny J",,,"UCL Urban Laboratory (51.52537536621094,-0.13254199922084808)","In 2011, police violence triggered an uprising in Tottenham that laid bare decades of neglect and state violence against the area’s racialised communities. In its aftermath, local leaders and corporate developers devised an aggressive redevelopment agenda that would have demolished the homes, workspaces and communities of thousands of council tenants, private renters and traders. Their plan was to transform Tottenham and surrounding areas from a diverse working-class place to a space for wealthy investors, residents and consumers.

Disrupting the Speculative City tells the story of how a community coalition defeated one of the most ambitious programmes of state-led gentrification in London. Known as the ‘Haringey Development Vehicle’ (HDV), it would have been executed through an undemocratic and speculative joint venture between the local council and the notorious international developer Lendlease. Thanks to the political creativity, tactical nous and extraordinary commitment of ordinary people, the HDV was scrapped by the local council in 2018. Drawing on the accounts of those at the heart of the struggle and analysing crucial developments in property investment, local statecraft and grassroots organising, this book explores a significant and inspirational success for campaigners in London, where social cleansing has become the default outcome of redevelopment.",,,,,,,,,,,,,RPS,Book
Wealth Creation and Poverty Creation: Global-local interactions in the economy of London,Wealth Creation and Poverty Creation,London,2002,https://www.tandfonline.com/doi/abs/10.1080/13604810220142826,https://www.tandfonline.com/doi/abs/10.1080/13604810220142826,Edwards M,,,"Bartlett School of Planning (51.526676177978516,-0.13003753125667572)","This paper links an issue which has long been prominent in City - the relationship between international and local processes - and a concern with London. London is at an important stage: after 15 years of de-regulation and weakened democratic institutions it is grappling now with a new governance structure outlined in a recent paper by John Tomaney ( City 5: 2, July 2001) and the preparation of new strategic plans, discussed here last year by Doreen Massey ( City 5: 1, April 2001). The focus here is on the interaction in London of markets for land, housing, commercial property, transport and labour - markets which can be instruments of innovation and dynamism but which can also be vectors of exploitation and inequality. It is argued that London's draft strategic plans have not yet got the measure of this dualism.",,,,,,,,,,,,,RPS,Chapter
"CAD, 3-D GIS and the Global Digital City","CAD, 3-D GIS and the Global Digital City",London,2005,https://core.ac.uk/download/pdf/41822306.pdf,https://core.ac.uk/download/pdf/41822306.pdf,"Hudson-Smith A, Evans S, Batty M",,,"Bartlett Centre for Advanced Spatial Analysis  (51.5219612121582,-0.13562574982643127)","We are on the edge of a revolution in the way we visualize and query digital data about
our environment. To date, computer displays of our environment in the third dimension
have been limited to computer-aided design (CAD) packages and the query of related da-
ta limited to geographical information systems (GIS) packages in two dimensions. The cu-
rrent innovation wave across the spatial data information field is based on the develop-
ment and dissemination of three-dimensional GIS (3-D GIS) which allows data to be vi-
sualized and queried on an x, y and z axis plane. A number of the key players in informa-
tion visualization allow conventional two-dimensional data to be viewed and exported in a
three-dimensional format, currently using the standard Virtual Reality Modeling Language
2.0 (VRML 2.0). However such methods of visualization and data query are limited in their
practicality. The move towards 3-D GIS in standard packages has been rather hit and
miss, with the third dimension often only used as a substitute for basic CAD-like visuali-
zation. We argue here that 3-D GIS will only become a reality when it is directly linked with
CAD models; and that the Internet is the most appropriate medium through which this is
most likely to occur. We illustrate these arguments in an overview of research into the vir-
tual city in general and our own development of ‘Virtual London’ in particular. Further, we
explore the rise of the global virtual city, a network of virtual cities that provide an insight
into the future of digital space.",,,,,,,,,,,,,RPS,Chapter
A Collaborative Three Dimensional Geographic Information System for London: Phase 1 Woodberry Down,3dGIS for London: Phase 1 Woodberry Down,"Woodberry Down (51.5724915,-0.090699)",2002,https://www.taylorfrancis.com/chapters/edit/10.1201/b12606-15/collaborative-three-dimensional-gis-london-phase-1-woodberry?context=ubx&refId=c3d783f4-9a73-4159-af5a-6210834a68c8,https://www.taylorfrancis.com/chapters/edit/10.1201/b12606-15/collaborative-three-dimensional-gis-london-phase-1-woodberry?context=ubx&refId=c3d783f4-9a73-4159-af5a-6210834a68c8,"Hudson-Smith A, Evans S",,,"Bartlett Centre for Advanced Spatial Analysis  (51.5219612121582,-0.13562574982643127)","In this chapter we outline the various issues involved in developing a three dimensional geographic information system (3dGIS) model for a large urban area, such as London. There are now many techniques which can be used to construct two-dimensional (2d) and threedimensional (3d) models of cities and their characteristics, which are useful for various types of visualisation. Until quite recently the main approach was based on rendering wire frame models of buildings based on Computer-Aided Architectural Design (CAAD/CAD). However, with the widespread development of Geographic Information Systems (GIS), there has been a move from the 2d map to the 3d block model which is based on extruding building plots, street line data, and basic topography. At the same time there has been a move towards the distribution of information relating to urban form and its representation via the Internet. Research at CASA into Internet based urban planning techniques has resulted in techniques whereby the common CAD based models of urban form can be adapted into a networked collaborative design and information system. A system which can be queried, explored and indeed inhabited through standard desktop machines linked to the Internet via standard dial up connections is currently being piloted.",,,,,,,,,,,,,RPS,Chapter
Governing London: The Evolving Institutional and Planning Landscape,The Evolving Institutional and Planning Landscape,London,2008,https://www.taylorfrancis.com/chapters/edit/10.4324/9780203886717-11/governing-london-evolving-institutional-planning-landscape-mark-tewdwr-jones,https://www.taylorfrancis.com/chapters/edit/10.4324/9780203886717-11/governing-london-evolving-institutional-planning-landscape-mark-tewdwr-jones,Tewdwr-Jones M,,,"Bartlett Centre for Advanced Spatial Analysis  (51.5219612121582,-0.13562574982643127)","This chapter discusses the recent experience of strategic planning and the governance of growth and development in London, a city that is experiencing many of the socio-economic and physical problems facing world cities today. It provides an insight to the unique nature of governance and planning within London, one of the world’s foremost global cities. The institutions of change are constantly undergoing reform and modernisation, in order to set a strategic framework for growth and investment. But choosing an appropriate governing and institutional framework for London has always been problematic. As Travers (2004: 1) has remarked

Governing London is a complex business. The city’s vast population, its geography and history conspire to make the British capital an unusually difﬁ cult place to govern . . . The regularity with which London’s government is reorganised suggests there is something unusual about the pressures that affect successive systems.",,,,,,,,,,,,,RPS,Chapter
Do Londoners make their own plans?,Do Londoners make their own plans?,London,2010,https://discovery.ucl.ac.uk/id/eprint/20241/,https://discovery.ucl.ac.uk/id/eprint/20241/,Edwards M,,,"Bartlett School of Planning (51.526676177978516,-0.13003753125667572)",,,,,,,,,,,,,,RPS,Chapter
Low-carbon transport in a developed megalopolis: the case of London,Low-carbon transport in a developed megalopolis,London,2011,https://ora.ouls.ox.ac.uk/objects/uuid:d3d00e88-ccd9-41b9-99eb-8fda2f6ac80a,https://ora.ouls.ox.ac.uk/objects/uuid:d3d00e88-ccd9-41b9-99eb-8fda2f6ac80a,"Hickman R, Banister D",,"Banister D, University of Oxford, 51.755, -1.255","Bartlett School of Planning (51.526676177978516,-0.13003753125667572)","To really make an impact on tackling climate change over the longer term and even in the next 10–20 years, it is necessary to think more strategically wabout global, national and city-wide futures. One approach to thinking about trend-breaking futures is to use visioning and backcasting as a form of scenario building. This paper presents the results of a recently completed project on backcasting for transport in London, where a 60% reduction target in CO2 emission levels (on 1990 levels) has been set for the transport to 2025. This challenging target is articulated through the baseline case and two images of the future, one pushing the technology harder and the other emphasising the role of behavioural change. Over 150 individual policy measures have been grouped together into mutually supporting policy packages that are in turn assembled into clusters of policy packages to see whether the targets set can be reached. A simulation model has been developed to test the multiple pathways to achieving the targets set, given a range of potentially different priority perspectives. The difficulty of reaching the targets set can be demonstrated, even if all of the policy packages are used to a ‘high’ level of application. When international aviation is included and the expected growth in travel over the next 20 years, the impossibility of target achievement is clearly demonstrated.",,,,,,,,,,,,,RPS,Chapter
Simulating the Spatial Distribution of Employment in Large Cities: With Applications to Greater London,Simulating the Spatial Distribution of Employment in Large Cities,London,2013,https://ideas.repec.org/h/spr/adspcp/978-3-642-31779-8_5.html,10.1007/978-3-642-31779-8_5,"Batty M, Smith DA, Vargas-Ruiz C",,,"Bartlett Centre for Advanced Spatial Analysis  (51.5219612121582,-0.13562574982643127)","In this chapter, we first review the development of employment location models as they have been developed for integrated models of land use transportation interaction (LUTI) where the focus is on the allocation of population and employment. We begin by sketching how employment models based on input–output and multiplier relationships are used to predict future employment aggregates by type and then we illustrate how these aggregates are distributed to small zones of an urban region in ways that make them consistent with the distribution of population and service employment allocated using spatial interaction-allocation models. In essence, the structure we are developing, which is part of an integrated assessment of resilience to extreme events, links input–output analysis to the allocation of employment and population using traditional land use transportation interaction models. The framework then down scales these activities which are allocated to small zones to the physical level of the city using GIS-related models functioning at an even finer spatial scale. The crucial link in this chain is how we distribute detailed employment types generated from the input–output model to small zones consistent with the way population and services are allocated using the LUTI model. To achieve this, we introduce an explicit employment forecasting model in which employment types are related to functions of floorspace that they use. These are estimated using linear regression analysis which enables future predictions of their location to be scaled in proportion to the totals generated from the input–output framework. These future estimates of floorspace condition the supply side of the model, and combined with accessibility indicators, provide the heart of the employment location model. We have developed this model for London and its region – south east England – and after presenting the results of the model, we sketch how the integrated framework is being used to generate scenarios for future employment and population change.",,,,,,,,,,,,,RPS,Chapter
London for sale: towards the marketization of urban space,Towards the marketization of urban space,London,2011,https://michaeledwards.org.uk/wp-content/uploads/2011/07/edwards-constellations-20110705.pdf,https://michaeledwards.org.uk/wp-content/uploads/2011/07/edwards-constellations-20110705.pdf,Edwards M,,,"Bartlett School of Planning (51.526676177978516,-0.13003753125667572)",,,,,,,,,,,,,,RPS,Chapter
