source,target,value
"Bartlett School of Environment, Energy and Resources",Natural Environment Research Council (NERC),9
Bartlett School of Architecture,Engineering & Physical Sciences Research Council (EPSRC),8
Bartlett Centre for Advanced Spatial Analysis,Engineering & Physical Sciences Research Council (EPSRC),9
Bartlett Centre for Advanced Spatial Analysis,The Centre for Sustainable Road Freight,3
Bartlett Development Planning Unit,Treaty of Windsor Programme,1
"Bartlett School of Environment, Energy and Resources",European Research Council (ERC),5
"Bartlett School of Environment, Energy and Resources",UK Energy Research Centre,1
"Bartlett School of Environment, Energy and Resources",Engineering & Physical Sciences Research Council (EPSRC),17
Bartlett School of Planning,Economic and Social Research Council (ESRC),4
Bartlett Centre for Advanced Spatial Analysis,European Union,1
Bartlett Centre for Advanced Spatial Analysis,China Scholarship Council,1
Bartlett Centre for Advanced Spatial Analysis,Greater London Authority (GLA),1
Bartlett Centre for Advanced Spatial Analysis,Economic and Social Research Council (ESRC),11
Bartlett Centre for Advanced Spatial Analysis,Transport for London (TfL),2
Bartlett Centre for Advanced Spatial Analysis,European Research Council (ERC),1
Bartlett School of Planning,UCL Grand Challenges,2
Bartlett School of Planning,British Council,2
UCL Urban Laboratory,British Academy (BA),1
UCL Urban Laboratory,Leverhulme Trust,1
Bartlett Centre for Advanced Spatial Analysis,Tsinghua University Open Fund,1
"Bartlett School of Environment, Energy and Resources",Medical Research Council (MRC),1
"Bartlett School of Environment, Energy and Resources",Economic and Social Research Council (ESRC),1
Bartlett School of Planning,Engineering & Physical Sciences Research Council (EPSRC),3
Bartlett School of Planning,EU Seventh Framework Programme,1
"Bartlett School of Environment, Energy and Resources",Chartered Institution of Building Services Engineers (CIBSE),4
"Bartlett School of Environment, Energy and Resources",Wellcome Trust,4
"Bartlett School of Environment, Energy and Resources",UK Research and Innovation,1
"Bartlett School of Environment, Energy and Resources",Croatian Science Foundation,1
Bartlett Centre for Advanced Spatial Analysis,Ordnance Survey,2
UCL Institute for Innovation and Public Purpose,Hackney Council,1
"Bartlett School of Environment, Energy and Resources",EU Horizon,1
"Bartlett School of Environment, Energy and Resources",European Union’s Horizon 2020,1
Bartlett School of Planning,Office Government Scientist,1
"Bartlett School of Environment, Energy and Resources",Polygon UK,1
"Bartlett School of Environment, Energy and Resources",City of London Archaeological Trust,1
Bartlett School of Architecture,Arts and Humanities Research Council (AHRC),1
"Bartlett School of Environment, Energy and Resources",National Institute for Health Research (NIHR),2
UCL Institute for Innovation and Public Purpose,Camden Council,1
Bartlett School of Planning,UCL Impact,1
Bartlett Centre for Advanced Spatial Analysis,Welsh Assembly Government,1
"Bartlett School of Environment, Energy and Resources",UK Health and Safety Executive (HSE),1
Bartlett Centre for Advanced Spatial Analysis,British Venture Capital Association,1
Bartlett Centre for Advanced Spatial Analysis,Central London Forward,1
Bartlett School of Sustainable Construction,Economic and Social Research Council (ESRC),1
Bartlett School of Sustainable Construction,Engineering & Physical Sciences Research Council (EPSRC),1
"Bartlett School of Environment, Energy and Resources",EU Seventh Framework Programme,1
"Bartlett School of Environment, Energy and Resources","Foreign, Commonwealth and Development Office",1
Bartlett Development Planning Unit,EU Seventh Framework Programme,1
"Bartlett School of Environment, Energy and Resources",DesignBuilder Software Ltd,1
"Bartlett School of Environment, Energy and Resources",Innovate UK ,1
