source,target,value
School of Architecture,Researcher,4
Energy Institute,Voluntary Organisation,1
Energy Institute,Public Body,1
Energy Institute,Property Developer,1
School of Planning,Voluntary Organisation,4
School of Construction and Project Management,Researcher,1
Centre for Advanced Spatial Analysis,Business,3
Institute for Global Prosperity,Researcher,1
Institute for Global Prosperity,Member of the Public,1
Institute for Environmental Design and Engineering,Researcher,4
Institute for Environmental Design and Engineering,Members of the Public,1
Institute for Environmental Design and Engineering,Business,3
School of Sustainable Construction,Student,1
School of Sustainable Construction,Researcher,1
School of Sustainable Construction,Public Body,3
School of Planning,Member of the Public,2
Urban Laboratory,Voluntary Organisation,1
School of Planning,Public Body,1
School of Planning,Business,1
Institute for Environmental Design and Engineering,Member of the Public,1
Centre for Advanced Spatial Analysis,Researcher,1
Institute for Environmental Design and Engineering,Institutional Body,1
School of Planning,Researcher,1
Energy Institute,Researcher,1
Centre for Advanced Spatial Analysis,Research Organisation,1
"School of Environment, Energy and Resources",Voluntary Organisation,1
School of Architecture,School,1
Institute for Innovation and Public Purpose,Public Body,1
Centre for Advanced Spatial Analysis,Member of the Public,1
Centre for Advanced Spatial Analysis,Public Body,1
"School of Environment, Energy and Resources",Consultancy,1
"School of Environment, Energy and Resources",Business,4
School of Architecture,Business,5
"School of Environment, Energy and Resources",School,1
School of Sustainable Construction,Business,1
