ID,Group
School of Sustainable Construction,A
Centre for Advanced Spatial Analysis,A
School of Architecture,A
Researcher,B
Energy Institute,A
Voluntary Organisation,B
Public Body,B
Property Developer,B
School of Planning,A
Institute for Environmental Design and Engineering,A
School of Construction and Project Management,A
Business,B
Urban Laboratory,A
Institute for Global Prosperity,A
Member of the Public,B
Members of the Public,B
Student,B
"School of Environment, Energy and Resources",A
Institutional Body,B
Institute for Sustainable Heritage,A
Institute for Sustainable Resources,A
Research Organisation,B
School,B
Institute for Innovation and Public Purpose,A
Consultancy,B
Built Environment Faculty Office,A
