UUID,Title,Memory Mapper Title (keywords to identify the project) (should include the research content,Project Location - In London,Spatial Scope,Date,Link,Identification- DOI/URL/ISBN/Reference no.,Authors,London Authors,Other Author (National+International),Department,Abstract,Partners,Partnership Location - In London,Partnership Names,Partnership Coordinates,Partnership,Policy Sources////Citations ( from Overton),Policy source subcategory,Partnership 1,Partnership 2,Partnership 3,Partnership 4,Filter 2 (Themes),Funder 1,Funder 2,Funder 3,Source,Output type,boroughs,geometry
5a76f9feace462bbe13d27f6e223061e,A compact city for the wealthy? Employment accessibility inequalities between occupational classes in the London metropolitan region 2011,Employment accessibility inequalities between occupational classes,London,Macro,2020,https://discovery.ucl.ac.uk/id/eprint/10102429/1/Smithetal2020_CompactCityfortheWealthy.pdf,10.1016/j.jtrangeo.2020.102767,"Duncan A. Smith
Yao Shen 
Joana Barros
Mike Batty 
Chen Zhong
Mariana Giannotti ","Joana Barros, Department of Geography, Birkbeck, University of London, WC1E 7HX, London, UK, (51.52521292561708, -0.12942207358954644)

Chen Zhong, Department of Geography, Kings College London, Strand, WC2R 2LS, London, UK, (51.51325924885361, -0.11704348837473262)","Yao Shen, Department of Urban Planning, Tongji University, 1239 Siping Road, Shanghai 200092, China, (31.28534786913622, 121.50577118412855)
Mariana Giannotti Geoprocessing Laboratory, University of São Paulo (USP), Av. Prof. Luciano Gualberto, São Paulo, Brazil, (-23.556061547208092, -46.72193348073597)",Bartlett Centre for Advanced Spatial Analysis,"The prevalence of gentrification and housing marketisation processes in many cities points to increasingly wealthy inner-city areas and potentially greater population segregation by income. It is plausible that these trends are contributing to regional accessibility inequalities, though quantitative research testing this link is limited. This paper examines differences in employment accessibility between Standard Occupational Classification groups in the London Metropolitan Region for 2011 for car, transit, bus only and walking modes. Additionally, changes in occupational class populations 2006–2016 are considered, revealing continuing inner-city gentrification. Employment accessibility is calculated using cumulative measures, based on travel times from multi-modal network modelling. The results show that while car accessibility is relatively equal between occupational classes, public transport, bus and walk accessibility have significant inequalities favouring professional classes. Low income groups have lower accessibility for the most affordable bus and walk modes, and inequalities are greater for residents in the wider metropolitan region. Furthermore, professional groups combine accessibility advantages with the highest rates of owner occupation, maximising housing wealth benefits. Lower income groups are exposed to rent increases, though this is offset by social housing, which remains the most prevalent tenure in Inner London for low income classes.","1. Joana Barros
2. Mike Batty ","1. Department of Geography, Birkbeck, University of London, WC1E 7HX, London, UK (51.521891,-0.130359)
2. Department of Geography, Kings College London, Strand, WC2R 2LS, London, UK (51.511612,-0.116253)",Birkbeck College|Kings College London,"[(51.521891,-0.130359), (51.511612,-0.116253)]",Co-authorship with academic partner(s),Government,,Co-authorship with academic partner(s),,,,Planning and Policy,Economic and Social Research Council (ESRC),,,REF 2021,,[],"{""type"": ""Feature"", ""geometry"": {""type"": ""MultiPoint"", ""coordinates"": []}, ""properties"": {}}"
10c4e84f1489ab9cc1804b64f8592fda,"A tale of two cities: comparison of impacts on CO2 emissions, the indoor environment and health of home energy efficiency strategies in London and Milton Keynes",Comparison of impacts on CO2 emissions in London and Milton Keynes,London,Macro,2015,https://www.sciencedirect.com/science/article/abs/pii/S1352231015303198,10.1016/j.atmosenv.2015.08.074,"Clive Shrubsole
P.Das
J. Milner
I.G.Hamilton 
J.V. Spadaro
E. Oikonomou
M. Davies
P. Wilkinson","J. Milner
P. Wilkinson 
Department of Social & Environmental Health Research, London School of Hygiene & Tropical Medicine, 15-17 Tavistock Place, London, WC1H 9SH, UK (51.525448,-0.12671)","P.Das Rudolf Peierls Centre for Theoretical Physics, University of Oxford, 1 Keble Road, Oxford, OX1 3NP, UK (51.7597085956399, -1.2587474802667473)

J.V. Spadaro, BC3 Basque Centre for Climate Change, Alda. Urquijo 4, 4°, 48008, Bilbao, Spain, (43.265669885484186, -2.9252490309413584)",[UCL Energy Institute / UCL Institute for Sustainable Heritage (ISH) / UCL Institute for Environmental Design and Engineering (IEDE) / UCL Institute for Sustainable Resources (ISR)],"Dwellings are a substantial source of global CO2 emissions. The energy used in homes for heating, cooking and running electrical appliances is responsible for a quarter of current total UK emissions and is a key target of government policies for greenhouse gas abatement. Policymakers need to understand the potential impact that such decarbonization policies have on the indoor environment and health for a full assessment of costs and benefits. We investigated these impacts in two contrasting settings of the UK: London, a predominantly older city and Milton Keynes, a growing new town. We employed SCRIBE, a building physics-based health impact model of the UK housing stock linked to the English Housing Survey, to examine changes, 2010–2050, in end-use energy demand, CO2 emissions, winter indoor temperatures, airborne pollutant concentrations and associated health impacts. For each location we modelled the existing (2010) housing stock and three future scenarios with different levels of energy efficiency interventions combined with either a business-as-usual, or accelerated decarbonization of the electricity grid approach. The potential for CO2 savings was appreciably greater in London than Milton Keynes except when substantial decarbonization of the electricity grid was assumed, largely because of the lower level of current energy efficiency in London and differences in the type and form of the housing stock. The average net impact on health per thousand population was greater in magnitude under all scenarios in London compared to Milton Keynes and more beneficial when it was assumed that purpose-provided ventilation (PPV) would be part of energy efficiency interventions, but more detrimental when interventions were assumed not to include PPV. These findings illustrate the importance of considering ventilation measures for health protection and the potential variation in the impact of home energy efficiency strategies, suggesting the need for tailored policy approaches in different locations, rather than adopting a universally rolled out strategy.","J. Milner
P. Wilkinson ","Department of Social & Environmental Health Research, London School of Hygiene & Tropical Medicine, 15-17 Tavistock Place, London, WC1H 9SH, UK (51.525448,-0.12671)",London School of Hygiene and Tropical Medicine,"[(51.525448,-0.12671)]",Co-authorship with academic partner(s),Government,Healthcare,Co-authorship with academic partner(s),Co-authorship with other partner(s),,,Sustainability ,EU Seventh Framework Programme,,,REF 2021,,[],"{""type"": ""Feature"", ""geometry"": {""type"": ""MultiPoint"", ""coordinates"": []}, ""properties"": {}}"
bbb48eaf792737414b29e7c73519f490,"District heating as heterotopia: Tracing the social contract through domestic energy infrastructure in Pimlico, London",Tracing the social contract through domestic energy infrastructure,"Churchill Gardens Social Housing (51.4865129,-0.1416574)",Micro,2016,https://discovery.ucl.ac.uk/id/eprint/1502304/,10.1002/sea2.12047,Charlotte Johnson,,,"Bartlett School of Environment, Energy and Resources","The Pimlico District Heating Undertaking (PDHU) was London's first attempt at neighborhood heating. Built in the 1950s to supply landmark social housing project Churchill Gardens, the district heating system sent heat from nearby Battersea power station into the radiators of the housing estate. The network is a rare example in the United Kingdom, where, unlike other European states, district heating did not become widespread. Today the heating system supplies more than 3,000 homes in the London Borough of Westminster, having survived the closure of the power station and the privatization of the housing estate it supplies. Therefore, this article argues, the neighborhood can be understood as a heterotopia, a site of an alternative sociotechnical order. This concept is used to understand the layers of economic, political, and technological rationalities that have supported PDHU and to question how it has survived radical changes in housing and energy policy in the United Kingdom. This lens allows us to see the tension between the urban planning and engineering perspective, which celebrates this system as a future-oriented “experiment,” and the reality of managing and using the system on the estate. The article analyzes this technology-enabled standard of living as a social contract between state and citizen, suggesting this is a way to analyze contemporary questions of district energy.","1. Residents of Churchill Gardens 
2. Pimlico District Heating Undertaking (PDHU) https://www.westminster.gov.uk/housing/pdhu
3. CityWest Homes ","1. 51.4865129,-0.1416574
2. Pimlico District Heating Undertaking (PDHU) 
3. 51.50090026855469,-0.15009300410747528",Churchill Gardens Estate|Westminster Council|CityWest Homes,"[(51.4865129,-0.1416574),(51.4976,-0.1374),(51.50090026855469,-0.15009300410747528)]",Working with the public and third sector,,,Public Engagement ,Collaborators,Data Support ,,Planning and Policy,,,,REF 2021,,['Westminster'],"{""type"": ""Feature"", ""geometry"": {""type"": ""MultiPoint"", ""coordinates"": [[-0.141657, 51.486513]]}, ""properties"": {}}"
9898a8a1b82f3b2611bf14db54aa2f5f,Monitoring summer indoor overheating in the London housing stock,Monitoring summer indoor overheating in the London housing stock,London,Macro,,https://discovery.ucl.ac.uk/id/eprint/1550175/,10.1016/j.enbuild.2017.02.049,"A Pathan
Alex Summerfield
Anna Mavrogianni
Martin Davies
Tadj Oreszczyn",,,[UCL Energy Institute / UCL Institute for Sustainable Heritage (ISH) / UCL Institute for Environmental Design and Engineering (IEDE) / UCL Institute for Sustainable Resources (ISR)],"In light of current climate change projections in recent years, there has been an increasing interest in the assessment of indoor overheating in domestic environments in previously heating-dominated climates. This paper presents a monitoring study of overheating in 122 London dwellings during the summers of 2009 and 2010. Dry Bulb Temperature and Relative Humidity in the main living and sleeping area were monitored at 10 min intervals. The ASHRAE Standard 55 adaptive thermal comfort method was applied, which uses outdoor temperature to derive the optimum indoor comfort temperature. It was found that 29% of all living rooms and 31% of all bedrooms monitored during 2009 had more than 1% of summertime occupied hours outside the comfort zone recommended by the standard to achieve 90% acceptability. In 2010, 37% of monitored living rooms and 49% of monitored bedrooms had more than 1% of summertime occupied hours outside this comfort zone. The findings of this study indicate that London dwellings face a significant risk of overheating under the current climate. Occupant exposure to excess indoor temperatures is likely to be exacerbated in the future if climate change adaptation strategies are not incorporated in Building Regulations, building design and retrofit.",Local participants,London,London,[],Public research survey,Government,,Anonymous Public Engagement ,,,,Sustainability ,Engineering & Physical Sciences Research Council (EPSRC),,,REF 2021,,[],"{""type"": ""Feature"", ""geometry"": {""type"": ""MultiPoint"", ""coordinates"": []}, ""properties"": {}}"
4dd1508b188c5cbb4a436f9964f3b339,Playing for the Future: Using Codesign Games to Explore Alternative Sanitation Systems in London,Using Codesign Games to Explore Alternative Sanitation Systems,London,Macro,2019,https://www.academia.edu/51724380/Playing_for_the_Future_Using_Codesign_Games_to_Explore_Alternative_Sanitation_Systems_in_London,10.17645/up.v4i4.2338,Tse-Hui Teh,,,Bartlett School of Planning,"Public participation is viewed as a best practice in planning, and yet most people who participate in it (planners included) often feel that it is a cynical box-ticking exercise. Citizen participation rates are usually low, implying that they may feel this way too. There are two good reasons for this feeling: On the one hand, public consultation often only occurs when it is a mandatory exercise required by government for development approval; on the other, when public consultation occurs it is after much time and effort has been invested by professionals to develop a scheme therefore change is made reluctantly or not at all. These factors create a reactionary and adversarial atmosphere during consultation. These structural limitations mean that there is no time to find alignment of interests between project developers and the public, or to develop trust and collaborations. This article explores how codesign games as a form of public participation can be done at an early stage of project development to contribute to finding alignment of interests and collaborations between project developers and different public interests. The empirical case study is focussed on the possibilities for the retrofit of sustainable sanitation systems in London. Three future sanitation systems were developed by 14 workshop participants. They demonstrate new alignments of interests, from methods of collection and treatment, to new economies of reuse and production. It also established reasons why the current water-based sanitation systems are obdurate, and the work involved in keeping the status quo.","Centre for Codesign Research, Royal Danish Academy of Fine Arts",https://adk.elsevierpure.com/en/organisations/center-for-codesign-research,https://adk.elsevierpure.com/en/organisations/center-for-codesign-research,[],Co-Design,,,Co-Design,,,,Social Sciences and Humanities,UCL Grand Challenges,,,REF 2021,,[],"{""type"": ""Feature"", ""geometry"": {""type"": ""MultiPoint"", ""coordinates"": []}, ""properties"": {}}"
64a4443201369331650622a74edbc525,Project capabilities for operational outcomes in inter-organisational settings: The case of London Heathrow Terminal 2,Project capabilities for operational outcomes in inter-organisational settings,"London Heathrow Terminal 2 (51.469722747802734,-0.4496561884880066)",Micro,2018,https://discovery.ucl.ac.uk/id/eprint/10045131/,10.1016/j.ijproman.2018.01.004,"Vedran Zerjav
Andrew Edkins
Andrew Davies",,,Bartlett School of Sustainable Construction,"Project and strategic management scholarship recognises the importance of project capabilities that allow firms to deliver projects. Although work on project capabilities is a fast-growing line of inquiry, little is still known about how clients assemble project capabilities to achieve operational outcomes in inter-organisational settings. This study seeks to apply theoretical work on project capabilities to the domain of infrastructure project delivery in order to understand how the assembly of project capabilities in temporary inter-organisational settings contributes to the delivery of operational outcomes. The empirical enquiry takes place in the context of the delivery of London Heathrow Terminal 2. Through an inductive theory building approach drawing upon semi-structured interviews with client-side project leadership, internal documents, publicly available data and ongoing engagement with the field, we identified three key capability-enabling mechanisms that help explain the genesis of project capabilities in inter-organisational settings: (1) reconfiguring project capabilities, (2) adapting project capabilities and (3) maintaining project capabilities. We discuss and expand these findings by engaging with theoretical ideas from project studies, and mainstream strategy, organisation, and management research to induce a dynamic model that can be helpful to guide future research, policy and management practices relating to the client side management of project capabilities.","Phil Wilbraham
Sally Blackwell ","Heathrow Airport Limited (51.480875,-0.468932)",Heathrow Airport,"[(51.480875,-0.468932)]",Research Support ,,,Research Support ,,,,Design,Economic and Social Research Council (ESRC),Engineering & Physical Sciences Research Council (EPSRC),,REF 2021,,['Hillingdon'],"{""type"": ""Feature"", ""geometry"": {""type"": ""MultiPoint"", ""coordinates"": [[-0.449656, 51.469723]]}, ""properties"": {}}"
d3095042020ef5c4c40fa798ed58d64d,Shortest path or anchor-based route choice: a large-scale empirical analysis of minicab routing in London,A large-scale empirical analysis of minicab routing in London,Central London,Meso,2015,https://discovery.ucl.ac.uk/id/eprint/1462729/1/1-s2.0-S0966692315000083-main.pdf,10.1016/j.jtrangeo.2015.01.006,"E.J. Manley
J.D. Addison
T. Cheng ",,,Bartlett Centre for Advanced Spatial Analysis,"Understanding and modelling route choice behaviour is central to predicting the formation and propaga- tion of urban road congestion. Yet within conventional literature disagreements persist around the nat- ure of route choice behaviour, and how it should be modelled. In this paper, both the shortest path and anchor-based perspectives on route choice behaviour are explored through an empirical analysis of nearly 700,000 minicab routes across London, United Kingdom. In the first set of analyses, the degree of similarity between observed routes and possible shortest paths is established. Shortest paths demon- strate poor performance in predicting both observed route choice and characteristics. The second stage of analysis explores the influence of specific urban features, named anchors, in route choice. These analyses show that certain features attract more route choices than would be expected were individuals choosing route based on cost minimisation alone. Instead, the results indicate that major urban features form the basis of route choice planning – being selected disproportionately more often, and causing asymmetry in route choice volumes by direction of travel. At a finer scale, decisions made at minor road features are furthermore demonstrated to influence routing patterns. The results indicate a need to revisit the basis of how routes are modelled, shifting from the shortest path perspective to a mechanism structured around urban features. In concluding, the main trends are synthesised within an initial framework for route choice modelling, and presents potential extensions of this research.","Addison Lee Limited
","51.4161376953125,-0.2117673009634018
",Addison Lee,"[(51.4161376953125,-0.2117673009634018
)]",Data support,,,Data Support ,,,,Planning and Policy,Economic and Social Research Council (ESRC),Transport for London (TfL),,REF 2021,,[],"{""type"": ""Feature"", ""geometry"": {""type"": ""MultiPoint"", ""coordinates"": []}, ""properties"": {}}"
c9fa5aee8133659782ab1a5ae6ccb857,Understanding prosperity in east London: Local meanings and ‘sticky’ measures of the good life,Understanding prosperity in east London,"East Village (51.5463228,-0.0098981)

Stratford (51.541289,-0.0035472) 

Hackney Wick (51.5434383,-0.0241542) ",Micro,2019,https://discovery.ucl.ac.uk/id/eprint/10066854/,10.1111/ciso.12208,"Henrietta L Moore
Saffron Woodcraft",,,UCL Institute for Global Prosperity,"The UN’s Sustainable Development Goals (SDGs) have been conceived as a global roadmap for peace, dignity and prosperity on a healthy planet (UNDP 2016). The SDGs challenge the dominant notion of prosperity as material wealth measured by GDP and rising household incomes; instead prosperity is reframed as a shared condition to be weighed alongside ending poverty, tackling inequalities and safeguarding the environment. Cities are identified as having a critical role in generating and equitably distributing prosperity on these terms. Reframing prosperity in this way opens up space for new forms of dialogue about what it means for people everywhere to prosper, asking how material wealth and other forms of value, equity and fairness, and the needs of humans and non-humans are differentially understood and acted on. Yet this article argues that prosperity is under-studied and under-theorized by social scientists. A new research agenda, driven by empirical studies in diverse urban contexts, must form the basis for new theoretical insights and policy formation that will drive action on prosperity in the years to come. Presenting new empirical work from community-led research in three east London neighbourhoods, the article examines prosperity as a lived experience in comparison to policy goal; demonstrating how context-specific meanings and practices challenge the orthodox models and metrics that currently dominate policymaking. The authors demonstrate how situated and engaged research with local residents and citizen scientists provides the basis for developing new prosperity metrics that reflect issues of specific value and concern to individuals and communities in east London.",10 Academics and 10 citizen scientists,"East Village (51.5463228,-0.0098981)

Stratford (51.541289,-0.0035472) 

Hackney Wick (51.5434383,-0.0241542) ",East Village|Stratford|Hackney Wick,"[(51.5463228,-0.0098981), (51.541289,-0.0035472), (51.5434383,-0.0241542)]",Research Methodology and public participation ,"Think tank , Government ",university affiliated ,Public Engagement ,,,,Sustainability ,,,,REF 2021,,"['Newham', 'Hackney']","{""type"": ""Feature"", ""geometry"": {""type"": ""MultiPoint"", ""coordinates"": [[-0.009898, 51.546323], [-0.003547, 51.541289], [-0.024154, 51.543438]]}, ""properties"": {}}"
11e972c229e98afcdf7fd71e43933d6e,"From the Beer Orders to Last Orders—Legislation, Taxation and the Modern Beer Landscape of London","Legislation, Taxation and the Modern Beer Landscape of London",London,Macro,2023,https://discovery.ucl.ac.uk/id/eprint/10178880/,10.1007/978-3-031-39008-1_3,"Adam Dennett
Jakub Wyszomierski 
Steven Gray",,,Bartlett Centre for Advanced Spatial Analysis,"London has one of the longest and most well-established brewing histories of any city in the world but by the Millennium the industry in the city had dwindled to just a handful of breweries brewing a limited range of established beers. Then, in 2002, the UK government introduced a new progressive beer duty tax which enabled small-scale brewers to brew beer while paying less tax than their larger competitors, thus levelling the uneven financial playing field that economies of scale had created. This chapter charts the impact of this transformative policy through the beer itself analysing data on over 9000 different beers brewed in the city by almost 300 different brewers. Through a detailed quantitative analysis of beers, their characteristics and their brewers, we document the evolving new beer scene unleashed by this small stroke of fiscal creativity. We find that once the small breweries were able to compete financially with the large breweries and a new cohort of passionate brewers had learned the necessary skills, a dynamic new beer landscape eventually emerged a decade or so after the fiscal change was made. This new scene reflects London’s global status, showcasing the planetary influences shaping one of the most exciting contemporary beer landscapes in the world.",RateBeer,"https://www.ratebeer.com
","https://www.ratebeer.com
",[],"Data Access
",,,Data Support ,,,,Planning and Policy,,,,Discovery,,[],"{""type"": ""Feature"", ""geometry"": {""type"": ""MultiPoint"", ""coordinates"": []}, ""properties"": {}}"
e96f12d3c547c71c3e9429a32ec1d9f3,Monitoring the performance of a naturally ventilated performing arts building in London during a heatwave,Monitoring the performance of a naturally ventilated performing arts building during a heatwave,London,Macro,2023,https://discovery.ucl.ac.uk/id/eprint/10184102/1/znazJiPF_021_CIBSE_TS2023_Lida_Sykara_pdf.pdf,10.1016/j.enbuild.2017.02.049,"Lida Sykara
Eur Ing Sung Min Hong
Dr David Hawkin",,,"Bartlett School of Environment, Energy and Resources","The application of natural ventilation in buildings can help reduce overheating and demand for cooling and can play a key role in helping the UK meet its 2050 net-zero targets. During the summer of 2022, including a heatwave, a POE was conducted in a performing arts academy in London, which exploits multiple natural ventilation techniques and high thermal mass materials. Through monitoring the temperature, relative humidity and CO2 concentration of seven dance and acting studios, interviewing the building management team, the ventilation of the studios is mostly adequate, providing acceptable thermal comfort levels. Specifically, during the heatwave, the indoor temperature ranged from 5 to 9 oC less than external levels concluding the thermal performance successful. However, possible operational changes could further enhance the building’s performance.",Dr David Hawkin,"Skelly & Counch Ltd (51.5322327, -0.0950173)",Skelly & Counch Ltd.,"[(51.5322327, -0.0950173)]",Co-authorship with industry partner(s),Government,"Council of EU, European Economic and Social Commitee and the UK Government",Co-authorship with industry partner(s),,,,Health,,,,Discovery,,[],"{""type"": ""Feature"", ""geometry"": {""type"": ""MultiPoint"", ""coordinates"": []}, ""properties"": {}}"
