UUID,Partnership Location - In London,Partnership Names,Partnership Coordinates,,,,,,,,,,,,
5a76f9feace462bbe13d27f6e223061e,"1. Department of Geography, Birkbeck, University of London, WC1E 7HX, London, UK (51.521891,-0.130359)
2. Department of Geography, Kings College London, Strand, WC2R 2LS, London, UK (51.511612,-0.116253)",Birkbeck College|Kings College London,"[(51.521891,-0.130359), (51.511612,-0.116253)]",,,,,,,,,,,,
10c4e84f1489ab9cc1804b64f8592fda,"Department of Social & Environmental Health Research, London School of Hygiene & Tropical Medicine, 15-17 Tavistock Place, London, WC1H 9SH, UK (51.525448,-0.12671)",London School of Hygiene and Tropical Medicine,"[(51.525448,-0.12671)]",,,,,,,,,,,,
bbb48eaf792737414b29e7c73519f490,"1. 51.4865129,-0.1416574
2. Pimlico District Heating Undertaking (PDHU) 
3. 51.50090026855469,-0.15009300410747528",Churchill Gardens Estate|Westminster Council|CityWest Homes,"[(51.4865129,-0.1416574),(51.4976,-0.1374),(51.50090026855469,-0.15009300410747528)]",,,,,,,,,,,,
9898a8a1b82f3b2611bf14db54aa2f5f,London,London,[],,,,,,,,,,,,
4dd1508b188c5cbb4a436f9964f3b339,https://adk.elsevierpure.com/en/organisations/center-for-codesign-research,https://adk.elsevierpure.com/en/organisations/center-for-codesign-research,[],,,,,,,,,,,,
64a4443201369331650622a74edbc525,"Heathrow Airport Limited (51.480875,-0.468932)",Heathrow Airport,"[(51.480875,-0.468932)]",,,,,,,,,,,,
d3095042020ef5c4c40fa798ed58d64d,"51.4161376953125,-0.2117673009634018
",Addison Lee,"[(51.4161376953125,-0.2117673009634018
)]",,,,,,,,,,,,
c9fa5aee8133659782ab1a5ae6ccb857,"East Village (51.5463228,-0.0098981)

Stratford (51.541289,-0.0035472) 

Hackney Wick (51.5434383,-0.0241542) ",East Village|Stratford|Hackney Wick,"[(51.5463228,-0.0098981), (51.541289,-0.0035472), (51.5434383,-0.0241542)]",,,,,,,,,,,,
11e972c229e98afcdf7fd71e43933d6e,"https://www.ratebeer.com
","https://www.ratebeer.com
",[],,,,,,,,,,,,
e96f12d3c547c71c3e9429a32ec1d9f3,"Skelly & Counch Ltd (51.5322327, -0.0950173)",Skelly & Counch Ltd.,"[(51.5322327, -0.0950173)]",,,,,,,,,,,,
d35ee69cd1b2559a150a597a5259ed1b,"Alton Estate (51.4540782, -0.2483526)",Alton Estate Community Action Group,"[(51.4540782, -0.2483526)]",,,,,,,,,,,,
6b4b987cd81dd0280787c5e03358acee,"1. London
2. University of Surrey School of Health Sciences (51.2387863, -0.6161194)",University of Surrey,"[(51.2387863, -0.6161194)]",,,,,,,,,,,,
f0ed5424dfdc4e17a488c47b58a9c773,"3. Sustainability & Building Physics Engineer
4. Postdoctoral Research Fellow, Oxford Brookes University (51.740257263183594,-1.2915550470352173)
5. 4. Postdoctoral Research Fellow, Oxford Brookes University (51.740257263183594,-1.2915550470352173)","3. Sustainability & Building Physics Engineer
4. Postdoctoral Research Fellow, Oxford Brookes University (51.740257263183594,-1.2915550470352173)
5. 4. Postdoctoral Research Fellow, Oxford Brookes University (51.740257263183594,-1.2915550470352173)",,,,,,,,,,,,,
5664f4103a16b887705c3232459d3231,"Institute of Historical Research (IHR), School of Advanced Study (51.520642,-0.128724)",Institute of Historical Research,"[(51.520642,-0.128724)]",,,,,,,,,,,,
62abebfac8031c7954d04d7326ba415b,"30 Clerkenwell Rd, London EC1M 5PG (51.523189,-0.099803)",Hawkins Brown Architects,"[(51.523189,-0.099803)]",,,,,,,,,,,,
4f1737e6f3700a6b91297e083b04dfde,"5. King's College of London, ( 51.511612,-0.116253)",King's College London,"[(51.511612,-0.116253)]",,,,,,,,,,,,
29f57ce78bb5f9b24b3fa58737b10e21,"1. https://londontenants.org/contact/
2. https://justspace.org.uk","1. https://londontenants.org/contact/
2. https://justspace.org.uk",[],,,,,,,,,,,,
39895c1dc1c125ef2dcb5dc4ad787e89,"School of Architecture and Cities, University of Westminster, United Kingdom (51.522023,-0.154599)",University of Westminster,"[(51.522023,-0.154599)]",,,,,,,,,,,,
63604da7f015f427afe36dfcb2f2e27a,"Cadogan Estates (51.4914436340332,-0.1593838930130005)

Shaftesbury Estate (51.5072648,-0.1278328)",Cadogan Estates|Shaftesbury Estate,"[(51.4914436340332,-0.1593838930130005), (51.5072648,-0.1278328)]",,,,,,,,,,,,
897578f7e187d682bb8a9313c6c012c2,"Imperial College London, UK (51.498317,-0.176923)",Imperial College,"[(51.498317,-0.176923)]",,,,,,,,,,,,
0701425de7a7d4169afe8d44577e6e72,"51.5464594,-0.0411046
",PRP,"[(51.5464594,-0.0411046)]",,,,,,,,,,,,
556a9d2f6ddb36d43cc9405f9ddc0d89,London,London,[],,,,,,,,,,,,
8c0004c20cb5b7a9aab78ce254754612,"
Ordnance Survey 
50.938114,-1.470628",Ordnance Survey,"[(50.938114,-1.470628)]",,,,,,,,,,,,
7c8f20245074bcf44b8e3fe802f03cc9,https://ucljustspace.wordpress.com,https://ucljustspace.wordpress.com,[],,,,,,,,,,,,
29dad8b5f27eb6a1f13577bf0c14b8b3,"Public Health, Environments and Society, London School of Hygiene & Tropical Medicine, London, UK
(51.520925,-0.130687)",London School of Hygiene and Tropical Medicine,"[(51.520925,-0.130687)]",,,,,,,,,,,,
