Partnership Names,Partnership Coordinates
Birkbeck College|Kings College London,"[""(51.521891,-0.130359)"", ""(51.511612,-0.116253)""]"
London School of Hygiene and Tropical Medicine,"[""(51.525448,-0.12671)""]"
Churchill Gardens Estate|Westminster Council|CityWest Homes,"[""(51.4865129,-0.1416574)"",""(51.4976,-0.1374)"",""(51.50090026855469,-0.15009300410747528)""]"
Heathrow Airport,"[""(51.480875,-0.468932)""]"
Addison Lee,"[""(51.4161376953125,-0.2117673009634018 )""]"
East Village|Stratford|Hackney Wick,"[""(51.5463228,-0.0098981)"", ""(51.541289,-0.0035472)"", ""(51.5434383,-0.0241542)""]"
Skelly & Counch Ltd.,"[""(51.5322327, -0.0950173)""]"
Alton Estate Community Action Group,"[""(51.4540782, -0.2483526)""]"
University of Surrey,"[""(51.2387863, -0.6161194)""]"
Oxford Brookes University,"""(51.740257263183594,-1.2915550470352173)"""
Institute of Historical Research,"[""(51.520642,-0.128724)""]"
Hawkins Brown Architects,"[""(51.523189,-0.099803)""]"
King's College London,"[""(51.511612,-0.116253)""]"
University of Westminster,"[""(51.522023,-0.154599)""]"
Cadogan Estates|Shaftesbury Estate,"[""(51.4914436340332,-0.1593838930130005)"", ""(51.5072648,-0.1278328)""]"
Imperial College,"[""(51.498317,-0.176923)""]"
PRP,"[""(51.5464594,-0.0411046)""]"
Ordnance Survey,"[""(50.938114,-1.470628)""]"
London School of Hygiene and Tropical Medicine,"[""(51.520925,-0.130687)""]"
Chartered Institution of Building Services Engineers,"[""(51.44258,-0.154379)""]"
London School of Hygiene and Tropical Medicine,"[""(51.520925,-0.130687)""]"
The Alan Turing Institute,"[""(51.529985,-0.127014)""]"
Public Health England,"[""(51.5045224, -0.0221204)""]"
London School of Hygiene and Tropical Medicine,"[""(51.520925,-0.130687)""]"
University of Westminster|University of Leeds,"[""(51.522023,-0.154599)"", ""(53.80636741831759, -1.555455581290279)""]"
Greater London Authority,"[""(51.507495,0.016223)""]"
University of Westminster,"[""(51.522023,-0.154599)""]"
King's College London,"[""(51.511612,-0.116253)""]"
University of Westminster,"[""(51.522023,-0.154599)""]"
London School of Hygiene and Tropical Medicine|DesignBuilder Software Ltd|Innovate UK,"[""(51.520925,-0.130687)"", ""(51.745097,-2.218907)"", ""(51.535509,-0.105346)""]"
Hackney Quest,"[""(51.543399,-0.045803)""]"
Greater London Authority,"[""(51.507495,0.016223)""]"
"Centre for the Study of the Legacies of British Slavery (51.54641797744119,-0.040935843785126116)

TravelTime Platform https://www.traveltimeplatform.com ","""(51.54641797744119,-0.040935843785126116)"""
London School of Hygiene and Tropical Medicine,"[""(51.525448,-0.12671)""]"
University of Westminster,"[""(51.522499463459454, -0.15516838839364727)""]"
University of Westminster,"[""(51.5171083035177, -0.14273950923015175)""]"
Bouygues UK,"[""(51.49977017638403, -0.11634197490043982)""]"
Chartered Insitute of Building Services Engineers|AtkinsRéalis,"[""(51.442116639506494, -0.15424404823790577)"", ""(51.4978876157519, -0.14246142549799956)""]"
University of Westminster,"[""(51.522499463459454, -0.15516838839364727)""]"
University of Westminster,"[""(51.522499463459454, -0.15516838839364727)""]"
"UK Centre for Moisture in Buildings
","[""(51.52696736981316, -0.12985490188742857)""]"
"UCL (51.52510565037896, -0.13394264766879568)",
King's College London,"[""(51.51323921810703, -0.11708640373538458)""]"
Transport for London,"[""(51.50015678046693, -0.13387705732143002)""]"
Save Cressingham Gardens,"[""(51.447257523309666, -0.11189843072524697)""]"
Future of London,"[""(51.52172141195431,-0.08943443329020563)""]"
University of Westminster,"[""(51.5224393833833, -0.1541491490073411)""]"
London School of Hygiene and Tropical Medicine,"[""(51.52124396186366, -0.12852871615097802)""]"
"WSP | Parsons Brinckerhoff, 70 Chancery Lane, London WC2A 1AF, UK (51.51812779115053, -0.11325016564039062)","[""(51.51812779115053, -0.11325016564039062)""]"
Foster+Partners Ltd.,"[""(51.482090834181555, -0.16121445063214201)""]"
Ealing Council,"[""(51.513207002689924, -0.3076413453114308)""]"
Transport for London,"[""(51.50015678046693, -0.13387705732143002)""]"
London School of Hygiene and Tropical Medicine,"[""(51.52556872037974, -0.12598366138699496)""]"
Transport for London,"[""(51.5420211, -0.0091897)""]"
London School of Economics and Political Science,"[""(51.5141156, -0.1169457)""]"
Space Syntax Ltd.,"[""(51.5260816, -0.0790413)""]"
Imperial College,"[""(51.4983184, -0.1768987)""]"
London School of Hygiene and Tropical Medicine,"[""(51.5254495, -0.1266846)""]"
Centre for London|British Venture Capital Association|British Telecommunications Plc.|London & Partners,"[""(51.5009271, -0.0921452)"", ""(51.5168827, -0.1123057)"", ""(51.5142795, -0.0716975)"", ""(51.5036212, -0.0985601)""]"
Transport for London,"[""(51.5420211, -0.0091897)""]"
Greater London Authority|Transport for London|Valuation Office Agency,"[""(51.5074947, 0.0162230)"", ""(51.5420211, -0.0091897)"", ""(51.5127940, -0.1304612)""]"
Greater London Authority,"[""(51.5048513, -0.0786925)""]"
"Coin Street Community Builders, for Oxo Tower Wharf|Parabola Land Ltd, for Kings Place|Dp9, for Kings Place|Savills","[""(51.506518,-0.109849, ""(51.51687240600586,-0.08267740160226822)"",""(51.506305,-0.134167)"",""(51.516536,-0.143089)""]"
Building Partnerships for Development in Water and Sanitation|PriceWaterhouseCoopers|London School of Economics and Political Science,"[""(51.4850466, -0.1183456)"", ""(51.5079893, -0.1246632)"", ""(51.5141156, -0.1169457)""]"
Greater London Authority,"[""(51.5074947, 0.0162230)""]"
Intelligent Space Partnership|Transport for London ,"[""(51.5255565, -0.0821197)"", ""(51.4978780, -0.1351635)""]"
Kings College London,"[""(51.5072648,-0.1278328)""]"
New City College,"[""(51.508545,-0.016975)""]"
London Borough of Camden,"[""(51.533481,-0.125043)""]"
Transport for London,"[51.542021, -0.00919]"
"Department for Digital, Culture, Media and Sport","[""(51.5013957,-0.1267676)""]"
Arup,"[""(51.52180862426758,-0.13817380368709564)""]"
Jan Kattein Architects,"[""(51.537534,-0.091592)""]"
Jan Kattein Architects,"[""(51.537534,-0.091592)""]"
Cundall,"[""(51.512795,-0.098751)""]"
Nell Gwynn Nursery School|Ann Bernadt Nursery School|Pembury House Nursery,"[""(51.476107,-0.063715)"", ""(51.477305,-0.078007)"", ""(51.598478,-0.066441)""]"
